DT_35007_N019	5378	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C2_NM,PRD_SE,LST_CHN_DE,ITM_ID,C1,C2,C2_OBJ_NM,UNIT_NM_ENG,C1_NM,TBL_NM,C1_OBJ_NM	DT_35007_N019,2024,시군구별 자궁경부암 검진 결과 판정 현황,6249,명,350,기존 암환자,A,2026-01-08,001,15350AC400Z1,007,자궁경부암검진결과별,In person,계,시군구별 자궁경부암 검진 결과 판정 현황,시군구별
DT_35007_N020	274	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C2_NM,PRD_SE,LST_CHN_DE,ITM_ID,C1,C2,C2_OBJ_NM,UNIT_NM_ENG,C1_NM,TBL_NM,C1_OBJ_NM	DT_35007_N020,2024,연령별 자궁경부암 검진 결과 판정 현황,19,명,350,기존 암환자,A,2026-01-08,001,016,007,자궁경부암검진결과별,Person,85세 이상,연령별 자궁경부암 검진 결과 판정 현황,연령별
DT_35007_N021	8936	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C3_NM,C2_NM,PRD_SE,LST_CHN_DE,ITM_ID,C1,C2,C2_OBJ_NM,C3,UNIT_NM_ENG,C1_NM,TBL_NM,C1_OBJ_NM,C3_OBJ_NM	DT_35007_N021,2017,대상인원,124508,명,350,40세,합계,A,2019-01-08,001,15350AC400A1,001,성별,001,Person,서울,시군구별 성별 생애전환기건강진단 대상 및 수검인원 현황,시군구별,검진대상자별
DT_35007_N022	1498	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C3_NM,C2_NM,PRD_SE,LST_CHN_DE,ITM_ID,C1,C2,C2_OBJ_NM,C3,UNIT_NM_ENG,C1_NM,TBL_NM,C1_OBJ_NM,C3_OBJ_NM	DT_35007_N022,2010,판정현황,94584,명,350,실인원,합계,A,2012-05-29,001,15350AC400A1,001,성별,001,Person,서울,시군구별 성별 생애전환기(40세) 건강진단 1차 판정현황,시군구별,검진결과별
DT_35007_N023	1497	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C3_NM,C2_NM,PRD_SE,LST_CHN_DE,ITM_ID,C1,C2,C2_OBJ_NM,C3,UNIT_NM_ENG,C1_NM,TBL_NM,C1_OBJ_NM,C3_OBJ_NM	DT_35007_N023,2010,판정현황,50827,명,350,실인원,합계,A,2012-05-29,001,15350AC400A1,001,성별,001,Person,서울,시군구별 성별 생애전환기(66세) 건강진단 1차 판정현황,시군구별,검진결과별
DT_35007_N024	4729	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C3_NM,C2_NM,PRD_SE,LST_CHN_DE,ITM_ID,C1,C2,C2_OBJ_NM,C3,UNIT_NM_ENG,C1_NM,TBL_NM,C1_OBJ_NM,C3_OBJ_NM	DT_35007_N024,2010,세부현황,74063,명,350,실인원,합계,A,2012-05-29,001,15350AC400A1,001,성별,00101,In person,서울,시군구별 성별 생애전환기(40세) 건강진단 1차 판정결과 세부현황,시군구별,검진결과별
DT_35007_N025	4675	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C3_NM,C2_NM,PRD_SE,LST_CHN_DE,ITM_ID,C1,C2,C2_OBJ_NM,C3,UNIT_NM_ENG,C1_NM,TBL_NM,C1_OBJ_NM,C3_OBJ_NM	DT_35007_N025,2010,세부현황,43803,명,350,실인원,합계,A,2012-05-29,001,15350AC400A1,001,성별,00101,Person,서울,시군구별 성별 생애전환기(66세) 건강진단 1차 판정결과 세부현황,시군구별,검진결과별
DT_35007_N026	11615	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C3_NM,C2_NM,PRD_SE,LST_CHN_DE,ITM_ID,C1,C2,C2_OBJ_NM,C3,UNIT_NM_ENG,C1_NM,TBL_NM,C1_OBJ_NM,C3_OBJ_NM	DT_35007_N026,2017,판정현황,725,명,350,당뇨병,합계,A,2019-01-08,001,15350AC400A1,001,성별,001,Person,서울,시군구별 성별 생애전환기(40세) 건강진단 2차 판정현황,시군구별,검진결과별
DT_35007_N027	11764	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C3_NM,C2_NM,PRD_SE,LST_CHN_DE,ITM_ID,C1,C2,C2_OBJ_NM,C3,UNIT_NM_ENG,C1_NM,TBL_NM,C1_OBJ_NM,C3_OBJ_NM	DT_35007_N027,2017,판정현황,929,명,350,당뇨병,합계,A,2019-01-08,001,15350AC400A1,001,성별,001,In person,서울,시군구별 성별 생애전환기(66세) 건강진단 2차 판정현황,시군구별,검진결과별
DT_35007_N028	38652	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C3_NM,C2_NM,PRD_SE,LST_CHN_DE,ITM_ID,C1,C2,C2_OBJ_NM,C3,UNIT_NM_ENG,C1_NM,TBL_NM,C1_OBJ_NM,C3_OBJ_NM	DT_35007_N028,2017,생활습관 평가결과,5210,명,350,흡연(니코틴의존도평가),합계,A,2019-01-08,001,15350AC400A1,001,성별,001,In person,서울,시군구별 성별 생애전환기(40세) 건강진단 2차 생활습관 평가결과,시군구별,생활습관별
DT_35007_N0280	13100	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C3_NM,PRD_SE,LST_CHN_DE,C1,C2,C3,C4,C1_NM,TBL_NM,C2_OBJ_NM_ENG,C4_NM,C2_NM,ITM_ID,C2_OBJ_NM,UNIT_NM_ENG,C1_OBJ_NM_ENG,C1_NM_ENG,C1_OBJ_NM,C3_OBJ_NM,C4_OBJ_NM,C2_NM_ENG	DT_35007_N0280,2024,생활습관 평가결과,41633,명,350,계,A,2026-01-06,15350AC400A1,001,001,001,서울특별시,시도별 연령별 성별 일반건강검진 생활습관평가 결과,By gender,흡연(니코틴의존도평가),합계,001,성별,In person,By province,Seoul,시도별,연령별,생활습관별,
DT_35007_N029	38644	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C3_NM,C2_NM,PRD_SE,LST_CHN_DE,ITM_ID,C1,C2,C2_OBJ_NM,C3,UNIT_NM_ENG,C1_NM,TBL_NM,C1_OBJ_NM,C3_OBJ_NM	DT_35007_N029,2017,생활습관 평가결과,1660,명,350,흡연(니코틴의존도평가),합계,A,2019-01-08,001,15350AC400A1,001,성별,001,In person,서울,시군구별 성별 생애전환기(66세) 건강진단 2차 생활습관 평가결과,시군구별,생활습관별
DT_35007_N030	2629	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C3_NM,C2_NM,PRD_SE,LST_CHN_DE,ITM_ID,C1,C2,C2_OBJ_NM,C3,UNIT_NM_ENG,C1_NM,TBL_NM,C1_OBJ_NM,C3_OBJ_NM	DT_35007_N030,2010,우울증 및 인지기능장애,2770,명,350,40세 우울증 검사,합계,A,2015-11-09,001,15350AC400A1,001,성별,001,In person,서울,시군구별 성별 생애전환기 건강진단 정신건강검사 결과 : 우울증 및 인지기능장애,시군구별,검진결과별
DT_35007_N031	30430	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C3_NM,C2_NM,PRD_SE,LST_CHN_DE,ITM_ID,C1,C2,C2_OBJ_NM,C3,UNIT_NM_ENG,C1_NM,TBL_NM,C1_OBJ_NM,C3_OBJ_NM	DT_35007_N031,2017,노인신체기능평가 결과,55907,명,350,일상생활수행능력,합계,A,2019-01-08,001,15350AC400A1,001,성별,001,In person,서울,시군구별 성별 생애전환기(66세) 건강진단 1차 일상생활 수행능력 및 노인신체기능평가 결과,시군구별,수행능력및기능평가결과별
DT_35007_N0310	8795	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C3_NM,PRD_SE,LST_CHN_DE,C1,C2,C3,C4,C1_NM,TBL_NM,C2_OBJ_NM_ENG,C4_NM,C2_NM,ITM_ID,C2_OBJ_NM,UNIT_NM_ENG,C1_OBJ_NM_ENG,C1_NM_ENG,C1_OBJ_NM,C3_OBJ_NM,C4_OBJ_NM,C2_NM_ENG	DT_35007_N0310,2024,노인신체기능평가 결과,169210,명,350,계,A,2026-01-06,15350AC400A1,001,001,001,서울특별시,시도별 연령별 성별 일반건강검진 일상생활수행능력 및 노인신체기능평가 결과,By gender,노인신체기능검사,합계,001,성별,In person,By province,Seoul,시도별,연령별,수행능력및기능평가결과별,
DT_35007_N032	5096	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C3_NM,C2_NM,PRD_SE,LST_CHN_DE,ITM_ID,C1,C2,C2_OBJ_NM,C3,UNIT_NM_ENG,C1_NM,TBL_NM,C1_OBJ_NM,C3_OBJ_NM	DT_35007_N032,2011,대상인원,504256,명,350,계,합계,A,2015-11-10,001,15350AC400A1,001,성별,001,In person,서울,시군구별 성별 영유아 건강검진 대상 및 수검인원 현황,시군구별,영유아연령별
DT_35007_N033	476	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C3_NM,C2_NM,PRD_SE,LST_CHN_DE,ITM_ID,C1,C2,C2_OBJ_NM,C3,UNIT_NM_ENG,C1_NM,TBL_NM,C1_OBJ_NM,C3_OBJ_NM	DT_35007_N033,2011,영유아건강검진 결과현황,52,명,350,여자,5세,A,2014-03-20,001,00604,006,영유아월령별,003,In person,기타,영유아 건강검진 결과현황,검진결과별,성별
